"host_group","ConcatenatedIPs","ConcatenatedDescriptions"
"mark-statdb","172.19.104.231","Database Server for Markopoulo Statistics"
"mule-controller-vip.opapweb.dc.opap","172.19.104.240","TIR-3210  (related to nls-k8sworker-*.nls.dc.opap)"
"mule-logstash","172.19.104.219","Logstash TIR-1858"
"mule-redis","172.19.104.247","Mulesoft PROD Redis 01"
"mule-rmq","172.19.104.217,172.19.104.218","RabbitMQ clusters TIR-1857"
"oddswall-app","172.19.104.47,172.19.104.48","Application server for Oddswall - TIR-3518"
"oddswall-db","172.19.104.49","Database server for Oddswall - TIR-3518"
"opapaff-app","172.19.104.161","Opap affiliates site - TIR-4081"
"opapgr-app","172.19.104.111,172.19.104.112,172.19.104.113,172.19.104.114,172.19.104.54,172.19.104.55","Application Server 1 (Liferay 7.2)"
"opapgr-elastic","172.19.104.121,172.19.104.122,172.19.104.123,172.19.104.59,172.19.104.58,172.19.104.53","Search Server 1 (Elastic)"
"opapgr-nfs","172.19.104.237","Unity NFS"
"opapgr-sql","172.19.104.75,172.19.104.76,172.19.104.77,172.19.104.51,172.19.104.52","Database Data Node 1"
"opapgr-sqld","172.19.104.65,172.19.104.66","Database SQL Node 1"
"opapgr-sql-vip.opapweb.dc.opap","172.19.104.50","-- autodiscovered --"
"opapgr-web","172.19.104.101,172.19.104.102,172.19.104.103,172.19.104.56,172.19.104.57","Web Server 1 (Apache)"
"opapgr-web-vip.opapweb.dc.opap","172.19.104.100","-- autodiscovered --"
"opapnet-app","172.19.104.31,172.19.104.32,172.19.104.33","Application Server 1 (Liferay 6.2)"
"opapnet-nfs","172.19.104.236","NFS for OpapNet servers"
"opapnet-solr","172.19.104.41,172.19.104.42,172.19.104.43","Search Server 1 (Solr 4)"
"opapnet-sql","172.19.104.61","Database SQL Node 1"
"opapnet-sqld","172.19.104.71,172.19.104.72","Database Data Node 1"
"opapnet-trm","172.19.104.11","Terminal Server"
"opapnet-web","172.19.104.21,172.19.104.22,172.19.104.23","Web Server 1 (Apache)"
"opapnet-web-vip.opapweb.dc.opap","172.19.104.20","-- autodiscovered --"
"opapweb-vip.opapweb.dc.opap","172.19.104.250","-- autodiscovered --"
"owncloud-app","172.19.104.185","OPAP cloud storage TIR-1833"
"strapp-rng","172.19.104.45","OPAP RNG  infra for free game"
"wincert-app","172.19.104.134,172.19.104.135","TIR-1799 Winning Certificates application server Liferay 7.2 "
"wincert-nfs","172.19.104.136","TIR-1799 Winning Certificates NFS share Liferay 7.2 UNITY"
"","172.19.104.1,172.19.104.2,172.19.104.3,172.19.104.4,172.19.104.5,172.19.104.40,172.19.104.190,172.19.104.239,172.19.104.251,172.19.104.252,172.19.104.253,172.19.104.254","-- autodiscovered --"
